pg,os,type,os_code,os_arch,pkg,ext,pname,miss,hide,pkg_repo,pkg_ver,count
13,d12.aarch64,deb,d12,aarch64,age,age,postgresql-13-age,t,f,pgdg,1.5.0~rc0,1
13,d12.aarch64,deb,d12,aarch64,aggs_for_arrays,aggs_for_arrays,postgresql-13-aggs-for-arrays,t,f,pigsty,1.3.3,1
13,d12.aarch64,deb,d12,aarch64,aggs_for_vecs,aggs_for_vecs,postgresql-13-aggs-for-vecs,t,f,pigsty,1.4.0,1
13,d12.aarch64,deb,d12,aarch64,asn1oid,asn1oid,postgresql-13-asn1oid,t,f,pgdg,1.6,1
13,d12.aarch64,deb,d12,aarch64,aws_s3,aws_s3,postgresql-13-aws-s3,t,f,pigsty,0.0.1,1
13,d12.aarch64,deb,d12,aarch64,babelfishpg_common,babelfishpg_common,babelfishpg-common,t,f,,,0
13,d12.aarch64,deb,d12,aarch64,babelfishpg_money,babelfishpg_money,babelfishpg-money,t,f,,,0
13,d12.aarch64,deb,d12,aarch64,babelfishpg_tds,babelfishpg_tds,babelfishpg-tds,t,f,,,0
13,d12.aarch64,deb,d12,aarch64,babelfishpg_tsql,babelfishpg_tsql,babelfishpg-tsql,t,f,,,0
13,d12.aarch64,deb,d12,aarch64,bgw_replstatus,bgw_replstatus,postgresql-13-bgw-replstatus,t,f,pgdg,1.0.8,1
13,d12.aarch64,deb,d12,aarch64,chkpass,chkpass,postgresql-13-chkpass,t,f,pigsty,1.0,1
13,d12.aarch64,deb,d12,aarch64,citus,citus,postgresql-13-citus,t,f,,,0
13,d12.aarch64,deb,d12,aarch64,count_distinct,count_distinct,postgresql-13-count-distinct,t,f,pigsty,3.0.2,1
13,d12.aarch64,deb,d12,aarch64,credcheck,credcheck,postgresql-13-credcheck,t,f,pgdg,3.0,1
13,d12.aarch64,deb,d12,aarch64,cryptint,cryptint,postgresql-13-cryptint,t,f,pigsty,1.0.0,1
13,d12.aarch64,deb,d12,aarch64,data_historization,data_historization,postgresql-13-data-historization,t,f,pigsty,1.1.0,1
13,d12.aarch64,deb,d12,aarch64,db2_fdw,db2_fdw,,t,f,,,0
13,d12.aarch64,deb,d12,aarch64,db_migrator,db_migrator,postgresql-13-db-migrator,t,f,pigsty,1.0.0,1
13,d12.aarch64,deb,d12,aarch64,dbt2,dbt2,,t,f,,,0
13,d12.aarch64,deb,d12,aarch64,ddl_historization,ddl_historization,postgresql-13-ddl-historization,t,f,pigsty,0.0.7,1
13,d12.aarch64,deb,d12,aarch64,ddsketch,ddsketch,postgresql-13-ddsketch,t,f,pigsty,1.0.1,1
13,d12.aarch64,deb,d12,aarch64,debversion,debversion,postgresql-13-debversion,t,f,pgdg,1.2.0,1
13,d12.aarch64,deb,d12,aarch64,decoder_raw,decoder_raw,postgresql-13-decoder-raw,t,f,pigsty,1.0,1
13,d12.aarch64,deb,d12,aarch64,decoderbufs,decoderbufs,postgresql-13-decoderbufs,t,f,pgdg,3.1.1,1
13,d12.aarch64,deb,d12,aarch64,documentdb,documentdb,postgresql-13-documentdb,t,f,,,0
13,d12.aarch64,deb,d12,aarch64,duckdb_fdw,duckdb_fdw,postgresql-13-duckdb-fdw,t,f,pigsty,1.1.2,1
13,d12.aarch64,deb,d12,aarch64,emaj,emaj,postgresql-13-emaj,t,f,pigsty,4.6.0,1
13,d12.aarch64,deb,d12,aarch64,envvar,envvar,postgresql-13-pg-envvar,t,f,pigsty,1.0.1,1
13,d12.aarch64,deb,d12,aarch64,extra_window_functions,extra_window_functions,postgresql-13-extra-window-functions,t,f,pgdg,1.0,1
13,d12.aarch64,deb,d12,aarch64,faker,faker,,t,f,,,0
13,d12.aarch64,deb,d12,aarch64,firebird_fdw,firebird_fdw,postgresql-13-firebird-fdw,t,f,pigsty,1.4.0,1
13,d12.aarch64,deb,d12,aarch64,first_last_agg,first_last_agg,postgresql-13-first-last-agg,t,f,pgdg,0.1.4-4-gd63ea3b,1
13,d12.aarch64,deb,d12,aarch64,floatfile,floatfile,postgresql-13-floatfile,t,f,pigsty,1.3.1,1
13,d12.aarch64,deb,d12,aarch64,floatvec,floatvec,postgresql-13-floatvec,t,f,pigsty,1.1.1,1
13,d12.aarch64,deb,d12,aarch64,geoip,geoip,postgresql-13-geoip,t,f,pigsty,0.3.0,1
13,d12.aarch64,deb,d12,aarch64,hashtypes,hashtypes,postgresql-13-hashtypes,t,f,pigsty,0.1.5,1
13,d12.aarch64,deb,d12,aarch64,hdfs_fdw,hdfs_fdw,,t,f,,,0
13,d12.aarch64,deb,d12,aarch64,hll,hll,postgresql-13-hll,t,f,pgdg,2.18,1
13,d12.aarch64,deb,d12,aarch64,hunspell_cs_cz,hunspell_cs_cz,postgresql-13-hunspell-cs-cz,t,f,pigsty,1.0,1
13,d12.aarch64,deb,d12,aarch64,hunspell_de_de,hunspell_de_de,postgresql-13-hunspell-de-de,t,f,pigsty,1.0,1
13,d12.aarch64,deb,d12,aarch64,hunspell_en_us,hunspell_en_us,postgresql-13-hunspell-en-us,t,f,pigsty,1.0,1
